,carat,cut,color,clarity,depth,table,length,width,height,price
41201,0.4,Very Good,E,VVS2,60.5,58.0,4.76,4.8,2.89,1205
15090,1.21,Premium,E,SI2,58.8,58.0,7.07,6.91,4.11,6065
53612,0.3,Very Good,D,SI1,62.2,58.0,4.28,4.31,2.67,552
13071,1.13,Ideal,D,SI2,60.1,55.0,6.79,6.85,4.1,5412
33565,0.39,Good,E,VS2,63.1,56.0,4.63,4.69,2.94,830
2300,0.9,Very Good,H,SI2,63.0,55.0,6.1,6.16,3.86,3162
38740,0.4,Very Good,H,IF,64.0,56.0,4.66,4.69,2.99,1044
7231,1.01,Very Good,J,SI1,63.0,54.0,6.35,6.41,4.02,4194
32327,0.3,Good,G,VVS1,63.1,58.0,4.28,4.31,2.71,789
43370,0.58,Ideal,F,SI1,61.4,57.0,5.33,5.38,3.29,1408
45832,0.54,Ideal,E,VS2,62.8,55.0,5.21,5.24,3.28,1713
53426,0.7,Ideal,F,VS2,61.8,54.0,5.68,5.71,3.52,2671
7003,1.06,Premium,D,SI2,60.9,60.0,6.55,6.52,3.98,4155
29399,0.34,Ideal,E,VS1,59.1,57.0,4.55,4.58,2.7,698
26676,0.27,Ideal,G,SI1,62.2,54.0,4.13,4.17,2.58,426
17790,1.0,Premium,E,VS2,63.0,58.0,6.25,6.22,3.93,7168
19533,1.5,Very Good,E,SI2,62.7,59.0,7.22,7.3,4.55,8167
4986,1.0,Good,H,SI2,63.2,60.0,6.27,6.3,3.97,3740
16669,1.01,Ideal,G,VS2,60.9,57.0,6.48,6.51,3.95,6663
6867,0.91,Premium,H,VS2,61.9,59.0,6.23,6.18,3.84,4128
46752,0.61,Ideal,E,SI1,61.2,56.0,5.5,5.48,3.36,1800
42552,0.46,Ideal,D,VS2,62.7,57.0,4.89,4.93,3.08,1326
49429,0.7,Ideal,J,VS1,61.4,55.0,5.72,5.75,3.53,2107
12679,1.15,Ideal,H,SI2,62.5,58.0,6.65,6.69,4.17,5306
1940,0.9,Premium,E,SI2,59.5,61.0,6.3,6.24,3.73,3084
50757,0.56,Ideal,G,IF,61.8,54.0,5.31,5.33,3.29,2298
10723,0.31,Premium,D,SI2,62.1,59.0,4.35,4.31,2.69,593
43046,0.54,Premium,E,SI1,62.2,61.0,5.24,5.15,3.23,1375
4447,0.7,Ideal,D,VS1,62.8,53.4,5.64,5.68,3.55,3618
52941,0.7,Very Good,F,VS2,61.6,60.0,5.63,5.71,3.49,2593
35607,0.31,Very Good,H,VVS1,63.1,57.0,4.31,4.25,2.7,907
10396,0.31,Very Good,G,SI1,63.1,59.0,4.33,4.29,2.72,593
41861,0.33,Ideal,D,VVS1,60.5,56.0,4.5,4.53,2.73,1257
52255,0.7,Good,G,VS2,64.3,56.0,5.51,5.58,3.57,2488
34003,0.42,Ideal,G,VS2,61.2,56.0,4.8,4.84,2.95,847
38674,0.55,Very Good,I,SI2,63.1,58.0,5.15,5.19,3.26,1041
18537,1.56,Good,H,SI2,59.2,59.0,7.46,7.54,4.44,7554
11166,1.07,Very Good,G,SI1,63.1,59.0,6.49,6.45,4.08,4949
27850,0.34,Ideal,H,VVS2,60.9,55.0,4.52,4.54,2.75,652
43392,0.57,Ideal,I,VS2,61.9,57.0,5.3,5.33,3.29,1410
27911,0.26,Very Good,F,VVS1,62.0,55.0,4.08,4.13,2.54,657
4370,1.11,Premium,H,SI2,60.4,59.0,6.7,6.64,4.03,3605
35413,0.4,Ideal,G,SI1,60.2,56.0,4.83,4.77,2.89,900
28147,0.3,Ideal,G,VVS2,61.4,57.0,4.29,4.31,2.64,665
48793,0.83,Premium,J,SI1,59.3,59.0,6.17,6.1,3.64,2022
30108,0.32,Premium,G,VS2,60.8,59.0,4.44,4.41,2.69,720
42493,0.47,Very Good,E,VS2,62.6,57.0,4.92,4.95,3.09,1320
29486,0.4,Very Good,G,SI1,59.2,61.0,4.78,4.81,2.84,702
3919,1.02,Premium,G,SI2,61.8,58.0,6.47,6.4,3.98,3496
49094,0.51,Very Good,G,IF,63.8,58.0,5.06,5.09,3.24,2063
32547,0.27,Premium,D,VVS2,62.2,59.0,4.12,4.08,2.55,799
21066,1.01,Very Good,F,VVS1,62.8,58.0,6.35,6.39,4.0,9243
23481,1.7,Premium,I,VVS2,61.8,61.0,7.57,7.5,4.66,11481
39408,0.41,Premium,F,VS1,60.7,56.0,4.82,4.77,2.91,1076
39051,0.54,Ideal,I,SI1,62.1,54.0,5.24,5.26,3.26,1057
12135,1.01,Very Good,H,SI1,63.0,57.0,6.34,6.36,4.0,5172
53271,0.7,Ideal,H,VS1,62.0,59.0,5.68,5.71,3.53,2648
11321,1.12,Ideal,I,VS2,62.8,55.0,6.69,6.66,4.19,4986
39770,0.36,Ideal,D,VS2,61.8,56.0,4.6,4.56,2.83,1094
20157,1.5,Ideal,H,SI2,62.8,55.0,7.27,7.31,4.58,8614
44116,0.54,Very Good,E,SI1,59.6,62.0,5.31,5.36,3.18,1559
31314,0.32,Ideal,E,VS1,61.7,56.0,4.39,4.42,2.72,758
22914,1.5,Premium,I,VVS1,62.4,60.0,7.29,7.32,4.56,10956
35665,0.31,Ideal,H,VVS1,61.8,57.0,4.35,4.32,2.68,907
43810,0.51,Premium,G,VS2,62.6,57.0,5.15,5.1,3.21,1443
962,0.71,Ideal,E,VS2,61.6,56.0,5.74,5.76,3.54,2891
20743,1.53,Ideal,I,SI1,62.4,57.0,7.33,7.37,4.59,8981
47090,0.4,Ideal,E,VVS1,61.7,55.0,4.76,4.74,2.93,1824
38227,0.4,Ideal,H,VVS1,62.0,54.0,4.72,4.76,2.94,1017
18171,1.01,Premium,G,VVS2,63.0,59.0,6.38,6.25,3.98,7366
16705,0.3,Premium,H,SI1,61.2,60.0,4.29,4.31,2.63,421
38470,0.32,Premium,D,VS1,60.5,59.0,4.49,4.45,2.7,1030
5016,0.9,Very Good,J,VVS1,60.4,60.0,6.23,6.28,3.78,3746
49493,0.7,Very Good,G,SI2,63.2,57.0,5.7,5.66,3.59,2117
23725,0.25,Very Good,E,VVS1,62.3,55.0,4.04,4.06,2.52,633
6619,1.35,Premium,J,SI1,62.1,54.0,7.15,7.09,4.42,4082
52842,0.7,Ideal,D,SI2,61.3,57.0,5.73,5.76,3.52,2575
43809,0.51,Ideal,G,VS2,62.0,56.0,5.18,5.11,3.19,1443
7642,1.03,Very Good,H,SI2,62.3,57.0,6.43,6.48,4.02,4268
17288,1.12,Good,F,VS2,63.8,57.0,6.59,6.61,4.21,6925
14313,1.0,Ideal,F,SI2,62.4,57.0,6.37,6.42,3.99,5798
34755,0.41,Premium,H,SI1,60.5,58.0,4.85,4.81,2.92,876
45682,0.5,Ideal,F,VS1,61.6,57.0,5.07,5.09,3.13,1695
11927,1.24,Ideal,J,SI1,61.9,56.0,6.95,6.88,4.28,5125
31669,0.4,Premium,F,SI1,61.7,59.0,4.75,4.72,2.92,769
4000,0.53,Ideal,D,IF,61.5,54.0,5.27,5.21,3.22,3517
9240,1.01,Premium,H,SI1,61.2,58.0,6.43,6.47,3.95,4559
43123,0.52,Ideal,J,IF,62.1,56.0,5.18,5.12,3.2,1385
30736,0.31,Premium,H,IF,60.8,59.0,4.36,4.39,2.66,739
3389,0.31,Very Good,I,SI1,63.0,57.0,4.32,4.34,2.73,408
10274,1.07,Ideal,G,SI2,62.1,55.0,6.54,6.61,4.08,4752
22980,1.51,Very Good,G,SI1,59.6,60.0,7.43,7.47,4.44,11029
33181,0.41,Good,E,SI2,63.8,57.0,4.75,4.68,3.01,818
11252,1.01,Ideal,F,SI1,62.5,56.0,6.38,6.42,4.0,4969
49324,0.51,Ideal,F,VVS2,62.4,57.0,5.08,5.12,3.18,2093
1416,0.8,Ideal,G,VS2,61.2,57.0,6.02,6.07,3.7,2969
6408,0.76,Ideal,E,VS2,62.1,55.0,5.84,5.88,3.64,4039
42767,0.52,Ideal,G,SI1,60.0,56.0,5.24,5.27,3.15,1346
1547,0.71,Premium,D,VS2,62.1,60.0,5.68,5.72,3.54,3002
18440,1.55,Premium,J,SI1,62.5,58.0,7.36,7.4,4.61,7502
15484,1.16,Premium,H,VS2,62.3,56.0,6.77,6.68,4.19,6202
18428,1.04,Premium,F,VS1,59.4,60.0,6.56,6.58,3.9,7495
41545,0.5,Premium,D,SI1,60.7,59.0,5.11,5.04,3.08,1235
45010,0.5,Ideal,H,VS1,61.1,56.0,5.1,5.14,3.13,1637
3293,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3365
32273,0.36,Very Good,E,VS2,62.3,58.0,4.51,4.55,2.82,789
7450,1.14,Premium,G,SI2,62.8,58.0,6.68,6.64,4.18,4233
50728,0.7,Ideal,H,SI1,62.2,55.0,5.67,5.71,3.54,2294
13551,1.09,Very Good,H,VS2,63.0,54.0,6.61,6.54,4.14,5551
52373,0.72,Very Good,H,SI1,60.3,55.0,5.84,5.85,3.52,2505
18217,1.0,Premium,E,VS1,61.9,60.0,6.44,6.41,3.98,7392
30708,0.37,Very Good,E,VS1,63.7,56.0,4.54,4.6,2.91,738
14139,1.2,Ideal,I,VS2,62.3,57.0,6.74,6.8,4.22,5736
52877,0.74,Very Good,F,SI1,61.5,58.0,5.82,5.85,3.59,2583
30187,0.4,Fair,G,VS2,64.6,55.0,4.62,4.64,2.99,722
20429,1.58,Very Good,I,SI1,63.1,55.0,7.42,7.45,4.69,8782
31168,0.41,Good,F,SI1,63.3,57.0,4.69,4.72,2.98,755
755,0.72,Ideal,E,SI1,62.3,57.0,5.76,5.7,3.57,2857
42569,0.38,Ideal,E,VVS1,62.4,56.0,4.67,4.64,2.9,1327
48134,0.6,Very Good,F,VS2,59.5,57.8,5.48,5.56,3.28,1940
21733,1.64,Ideal,E,SI1,60.7,55.0,7.67,7.64,4.65,9801
27041,0.32,Ideal,G,VS1,62.1,55.0,4.38,4.41,2.73,645
12916,1.2,Ideal,I,SI1,62.6,58.0,6.74,6.71,4.21,5376
41642,0.4,Ideal,E,VVS2,61.8,55.0,4.78,4.74,2.94,1238
44074,0.56,Premium,E,VS2,61.1,59.0,5.27,5.34,3.24,1552
30387,0.33,Ideal,H,VVS1,61.7,55.0,4.48,4.5,2.77,730
31185,0.32,Premium,D,SI1,63.0,58.0,4.4,4.36,2.76,756
21980,1.03,Ideal,F,VVS2,61.1,57.0,6.51,6.54,3.99,10049
21946,1.01,Very Good,F,VVS1,62.9,57.0,6.35,6.41,4.01,10019
34671,0.31,Premium,E,VS2,62.6,58.0,4.33,4.29,2.7,872
35411,0.4,Premium,G,SI1,59.2,61.0,4.81,4.78,2.84,900
29557,0.33,Ideal,F,SI1,60.6,56.0,4.49,4.46,2.71,705
5530,0.91,Premium,H,VS2,59.6,60.0,6.29,6.25,3.74,3853
7475,1.1,Very Good,I,SI1,60.4,61.0,6.69,6.73,4.05,4235
8899,0.79,Premium,E,VVS1,62.8,60.0,5.89,5.8,3.67,4490
36379,0.44,Ideal,H,SI1,61.9,57.0,4.92,4.9,3.04,941
15019,1.2,Premium,H,VS2,62.4,57.0,6.73,6.67,4.18,6048
2972,1.01,Very Good,I,SI2,61.5,62.0,6.37,6.41,3.93,3299
30397,0.32,Very Good,G,VVS2,62.0,55.0,4.39,4.42,2.73,730
3948,0.9,Very Good,I,SI2,61.5,57.0,6.16,6.19,3.8,3503
17254,1.09,Premium,G,VS2,61.0,59.0,6.6,6.65,4.04,6906
5113,0.72,Ideal,F,VS1,60.5,56.0,5.82,5.85,3.53,3759
21466,1.55,Ideal,D,SI1,61.7,57.0,7.47,7.43,4.59,9565
5162,0.9,Premium,F,SI2,61.5,59.0,6.2,6.23,3.82,3770
39094,0.41,Good,J,IF,63.6,54.0,4.75,4.72,3.01,1061
46532,0.51,Ideal,G,VS1,62.0,56.0,5.16,5.06,3.17,1781
11548,1.23,Ideal,J,VS2,61.5,57.0,6.85,6.9,4.23,5030
48262,0.7,Good,F,SI1,64.3,63.0,5.55,5.58,3.58,1955
650,0.71,Ideal,G,VVS2,60.7,57.0,5.81,5.78,3.52,2843
50071,0.51,Premium,F,VS2,61.1,58.0,5.19,5.16,3.16,2203
12549,1.1,Ideal,I,VS2,61.8,55.4,6.62,6.65,4.1,5273
17388,0.32,Ideal,G,SI1,61.3,57.0,4.4,4.37,2.69,612
44811,0.5,Ideal,E,VS2,61.4,57.0,5.08,5.11,3.13,1624
31364,0.33,Ideal,F,VVS2,60.9,57.0,4.46,4.51,2.73,761
51949,0.71,Very Good,E,SI1,63.1,59.0,5.75,5.62,3.59,2441
15439,1.2,Premium,F,VS2,61.4,58.0,6.8,6.75,4.16,6182
23160,1.76,Premium,J,VS1,62.0,58.0,7.74,7.7,4.79,11177
22691,0.29,Very Good,E,VVS1,60.9,61.0,4.23,4.27,2.59,629
17345,1.08,Ideal,H,VVS1,62.5,54.0,6.56,6.58,4.1,6961
11108,1.03,Very Good,H,SI1,63.3,57.0,6.41,6.39,4.05,4932
17410,1.03,Premium,D,VS1,59.6,61.0,6.62,6.57,3.93,6974
37948,0.28,Very Good,E,VS2,60.4,59.0,4.22,4.26,2.56,487
15749,1.25,Premium,G,SI2,60.4,59.0,6.98,6.96,4.21,6300
8683,1.11,Ideal,I,SI2,61.9,57.0,6.66,6.62,4.11,4457
37998,0.43,Ideal,G,VS1,61.3,57.0,4.88,4.85,2.98,1008
33542,0.35,Ideal,E,VS1,61.2,56.0,4.53,4.55,2.78,829
27846,0.3,Ideal,D,VS1,62.2,56.0,4.27,4.31,2.67,651
49696,0.55,Very Good,F,VVS2,62.4,59.0,5.2,5.22,3.25,2147
32398,0.31,Ideal,E,VVS2,62.0,54.0,4.38,4.4,2.72,791
40405,0.54,Ideal,G,SI2,62.3,58.0,5.17,5.2,3.23,1133
10731,0.33,Premium,I,VS2,61.0,61.0,4.46,4.43,2.71,594
15514,1.02,Premium,E,VS2,61.9,62.0,6.47,6.38,3.98,6215
13421,1.0,Very Good,G,SI1,62.3,62.0,6.34,6.38,3.96,5511
5602,0.96,Ideal,G,SI2,62.1,57.0,6.32,6.27,3.91,3871
48159,0.71,Very Good,G,SI1,61.1,61.0,5.71,5.72,3.49,1942
4004,0.9,Very Good,I,VS2,63.3,58.0,6.07,6.13,3.86,3519
11030,0.9,Ideal,D,SI1,61.8,57.0,6.22,6.17,3.83,4919
13472,1.01,Very Good,D,SI1,59.7,57.0,6.53,6.56,3.91,5533
28777,0.34,Ideal,G,VS1,62.0,55.0,4.47,4.5,2.78,681
8422,1.05,Ideal,J,SI1,61.5,55.0,6.53,6.57,4.03,4405
43208,0.5,Good,E,VS2,59.8,57.0,5.12,5.18,3.08,1395
46281,0.5,Very Good,E,VS1,61.4,55.0,5.09,5.14,3.14,1755
50678,1.01,Fair,G,I1,64.5,56.0,6.32,6.26,4.06,2287
4975,0.78,Ideal,D,VS2,62.9,56.0,5.85,5.88,3.69,3736
16199,1.7,Good,I,I1,63.6,58.0,7.52,7.48,4.77,6474
35776,0.4,Ideal,E,VS2,62.4,56.0,4.71,4.74,2.95,912
52783,0.72,Very Good,E,SI1,62.9,54.0,5.72,5.76,3.61,2567
51507,0.75,Ideal,I,SI1,61.5,58.0,5.82,5.86,3.59,2383
14201,1.01,Premium,G,VS2,60.2,59.0,6.48,6.55,3.92,5759
20232,1.01,Ideal,G,VVS2,61.6,54.0,6.51,6.55,4.02,8662
31768,0.32,Premium,G,VS1,61.2,62.0,4.45,4.41,2.71,773
40624,0.41,Ideal,E,VS1,61.9,55.0,4.8,4.76,2.96,1153
8027,1.06,Ideal,I,SI1,62.8,56.0,6.52,6.47,4.08,4333
12048,0.34,Ideal,G,VS2,62.0,54.0,4.47,4.5,2.78,596
18026,1.5,Good,H,SI2,64.2,61.0,7.15,7.1,4.57,7291
44202,0.51,Ideal,F,VS2,61.4,56.0,5.13,5.16,3.16,1569
42299,0.32,Very Good,H,VS2,62.7,54.0,4.39,4.41,2.76,505
10629,1.15,Premium,H,SI2,61.6,60.0,6.75,6.72,4.15,4830
31311,0.32,Ideal,E,VS1,59.9,55.0,4.46,4.49,2.68,758
45768,0.52,Ideal,F,VS1,62.5,57.0,5.17,5.13,3.22,1707
44762,0.52,Very Good,G,VS1,59.5,58.0,5.21,5.28,3.12,1621
5517,1.0,Good,I,SI1,63.8,58.0,6.28,6.32,4.02,3850
38655,0.42,Ideal,D,SI1,62.0,55.0,4.84,4.83,3.0,1040
5545,1.02,Premium,J,SI1,63.0,58.0,6.44,6.39,4.04,3856
17587,1.08,Premium,F,VS2,62.8,59.0,6.55,6.47,4.09,7079
18891,0.9,Very Good,E,IF,63.9,55.0,6.05,6.09,3.88,7747
36559,0.4,Premium,E,SI1,61.3,59.0,4.74,4.69,2.89,945
15434,1.21,Ideal,H,SI1,61.1,57.0,6.91,6.83,4.2,6180
9597,1.04,Ideal,F,SI2,61.8,56.0,6.53,6.49,4.02,4630
27936,0.25,Ideal,F,SI1,61.5,56.0,4.06,4.09,2.5,430
7760,1.11,Very Good,J,VS2,61.8,56.0,6.59,6.64,4.09,4283
35631,0.3,Very Good,I,VS1,58.8,61.0,4.38,4.43,2.59,473
8343,1.02,Very Good,E,SI2,60.5,58.0,6.54,6.58,3.97,4398
22243,1.08,Ideal,E,VVS2,62.5,57.0,6.52,6.57,4.09,10300
5501,0.74,Ideal,F,VS1,61.7,56.0,5.79,5.87,3.6,3845
30629,0.26,Ideal,H,VS1,62.1,56.0,4.13,4.15,2.56,448
46640,0.3,Very Good,I,VVS2,60.1,63.0,4.28,4.31,2.58,526
6397,1.01,Premium,G,SI2,61.8,58.0,6.39,6.36,3.94,4038
47802,0.99,Fair,J,I1,62.9,58.0,6.33,6.1,3.91,1901
52976,0.3,Very Good,D,SI1,63.0,58.0,4.24,4.27,2.68,552
5749,0.98,Very Good,E,SI2,61.1,60.0,6.31,6.36,3.87,3895
20957,1.25,Premium,G,VS1,61.8,58.0,6.94,6.91,4.28,9173
50501,0.6,Ideal,H,IF,61.9,56.0,5.4,5.45,3.36,2270
7636,0.9,Premium,H,VS2,61.7,59.0,6.13,6.19,3.8,4266
41413,0.53,Very Good,D,SI2,59.3,61.0,5.26,5.29,3.13,1226
40738,0.54,Ideal,E,SI2,62.1,56.0,5.18,5.22,3.23,1163
2595,0.77,Premium,F,VS2,62.1,59.0,5.85,5.87,3.64,3218
3677,0.7,Good,F,VVS2,62.5,58.0,5.68,5.75,3.57,3445
38017,0.39,Premium,G,VS2,62.3,59.0,4.69,4.65,2.91,1009
9584,1.0,Very Good,D,SI2,63.2,57.0,6.24,6.32,3.97,4628
7769,0.81,Premium,D,VS1,62.3,58.0,5.94,6.0,3.72,4284
9796,1.24,Premium,E,SI2,60.5,62.0,6.97,6.89,4.19,4666
37556,0.31,Ideal,G,IF,61.0,56.0,4.39,4.37,2.67,988
21154,1.01,Ideal,E,VVS2,60.0,55.0,6.56,6.6,3.95,9310
22303,1.54,Premium,I,VS1,61.6,58.0,7.42,7.39,4.56,10349
33618,0.31,Good,G,SI1,63.1,59.0,4.29,4.33,2.72,462
37397,0.32,Very Good,D,VVS1,61.9,54.0,4.42,4.46,2.75,983
35855,0.32,Ideal,D,VVS1,62.6,57.0,4.34,4.41,2.74,917
9879,1.04,Very Good,H,SI1,59.7,60.0,6.55,6.58,3.92,4682
37802,0.43,Good,H,VVS1,60.0,61.0,4.91,4.93,2.95,1000
31163,0.41,Very Good,E,SI1,61.4,56.0,4.77,4.81,2.94,755
6177,0.81,Very Good,F,VVS2,63.1,56.0,5.99,5.9,3.75,3992
28913,0.3,Very Good,H,VVS1,63.0,56.0,4.24,4.27,2.68,684
14818,1.0,Premium,G,VS2,60.0,59.0,6.52,6.47,3.9,5967
16082,1.0,Ideal,F,VS2,61.7,58.0,6.37,6.43,3.95,6424
19778,1.08,Ideal,G,VVS1,61.6,56.0,6.6,6.65,4.08,8347
3682,0.51,Ideal,D,IF,62.1,55.0,5.12,5.13,3.19,3446
44671,0.7,Very Good,J,SI2,63.6,56.0,5.57,5.63,3.56,1609
5606,0.96,Premium,H,SI2,59.2,61.0,6.42,6.36,3.78,3871
3930,1.01,Premium,J,SI2,61.7,58.0,6.4,6.44,3.96,3499
5631,0.9,Very Good,H,VS2,62.8,58.0,6.13,6.17,3.86,3878
31018,0.41,Good,F,VS2,59.7,63.0,4.8,4.85,2.88,749
20487,1.5,Premium,I,VS2,62.9,58.0,7.17,7.08,4.48,8820
38880,0.4,Ideal,D,VS2,60.4,56.0,4.77,4.73,2.87,1050
49448,0.51,Ideal,G,VVS1,61.0,57.0,5.17,5.16,3.15,2111
19055,1.01,Premium,E,VS1,62.9,60.0,6.36,6.32,3.99,7839
13222,1.5,Fair,D,I1,64.7,62.0,7.19,7.04,4.6,5460
7429,0.91,Premium,D,SI1,62.8,57.0,6.17,6.12,3.86,4228
29679,0.41,Ideal,J,VS1,62.8,56.0,4.73,4.79,2.99,707
28360,0.4,Ideal,I,VS2,62.4,54.0,4.73,4.76,2.96,667
41528,0.42,Ideal,G,VVS1,61.6,55.0,4.85,4.82,2.98,1235
1601,0.7,Ideal,F,VS2,61.9,55.0,5.7,5.74,3.54,3011
21648,1.0,Very Good,D,VVS2,63.0,59.0,6.35,6.38,4.01,9740
18532,1.51,Premium,J,VS2,62.3,59.0,7.35,7.31,4.57,7553
14444,1.3,Very Good,J,VS2,61.6,56.0,7.02,7.07,4.34,5832
31064,0.27,Ideal,D,VVS2,61.5,56.0,4.18,4.15,2.56,752
44220,0.57,Premium,F,SI1,59.5,58.0,5.43,5.36,3.21,1571
21142,1.57,Ideal,H,SI2,60.7,57.0,7.49,7.54,4.56,9298
23805,1.67,Very Good,I,VS1,61.6,59.1,7.61,7.64,4.7,11867
46144,0.5,Ideal,G,VS1,62.0,55.0,5.11,5.05,3.15,1746
53827,0.7,Premium,E,VS2,62.3,59.0,5.7,5.64,3.53,2737
33672,0.41,Premium,H,SI2,62.2,56.0,4.8,4.72,2.96,836
10498,1.19,Ideal,H,SI2,61.7,56.0,6.83,6.78,4.2,4798
40979,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1181
53877,0.77,Premium,F,SI1,60.0,61.0,5.97,5.93,3.57,2745
39532,0.4,Premium,F,VS2,60.7,60.0,4.8,4.75,2.9,1080
22770,1.53,Ideal,I,VS1,62.8,55.0,7.4,7.35,4.63,10796
45639,0.23,Very Good,F,VVS1,60.7,55.0,3.98,4.0,2.42,525
16051,1.01,Good,G,VS1,63.2,61.0,6.33,6.35,4.01,6412
40982,0.5,Very Good,E,SI2,63.3,56.0,5.09,5.05,3.21,1181
48552,0.55,Ideal,D,VS1,61.7,55.0,5.26,5.25,3.24,1990
22479,1.21,Ideal,F,VS1,61.8,56.0,6.84,6.86,4.23,10504
16234,1.2,Premium,G,SI1,63.0,60.0,6.81,6.75,4.27,6494
8667,0.9,Premium,G,SI1,60.6,57.0,6.28,6.2,3.78,4455
38252,0.31,Premium,J,VS2,62.5,60.0,4.31,4.36,2.71,380
42789,0.54,Ideal,G,SI1,61.8,58.0,5.21,5.27,3.24,1350
20597,1.15,Ideal,F,VVS2,62.1,55.0,6.74,6.69,4.17,8903
28449,0.37,Ideal,G,VS2,61.4,56.0,4.63,4.65,2.85,671
6568,1.0,Premium,E,SI2,59.1,61.0,6.44,6.39,3.79,4077
21942,1.51,Ideal,H,SI1,61.3,56.0,7.44,7.4,4.55,10012
48446,0.51,Very Good,G,VVS2,63.1,58.0,5.11,5.07,3.21,1974
14228,1.04,Premium,E,SI1,59.6,59.0,6.59,6.56,3.92,5766
39793,0.39,Ideal,D,VS1,62.0,57.0,4.67,4.71,2.91,1095
15147,1.52,Ideal,J,SI2,62.7,56.0,7.28,7.2,4.54,6089
52046,0.73,Ideal,I,VVS2,60.1,56.0,5.88,5.86,3.53,2451
19852,1.22,Ideal,H,VS1,61.9,54.0,6.88,6.9,4.26,8411
21757,1.53,Very Good,I,VS1,59.3,58.0,7.5,7.54,4.46,9823
36041,0.41,Premium,G,SI1,62.7,58.0,4.74,4.7,2.96,923
1821,0.9,Good,I,SI2,60.7,58.0,6.17,6.21,3.76,3057
39666,0.42,Ideal,G,VS2,62.2,54.0,4.82,4.8,2.99,1087
51585,0.73,Premium,I,VS1,60.3,58.0,5.87,5.83,3.53,2393
11047,0.31,Ideal,H,SI1,61.9,56.0,4.38,4.35,2.7,595
38209,0.43,Ideal,F,SI1,61.7,54.0,4.9,4.86,3.01,1016
33175,0.41,Ideal,E,SI2,63.0,57.0,4.73,4.7,2.97,818
38694,0.37,Premium,E,VS2,59.5,59.0,4.71,4.64,2.78,1041
35980,0.42,Premium,G,VS1,60.8,59.0,4.79,4.85,2.93,921
49337,0.57,Ideal,G,VVS2,61.7,54.0,5.32,5.41,3.31,2095
36557,0.4,Premium,E,SI1,62.6,59.0,4.71,4.68,2.94,945
43625,0.43,Ideal,G,IF,62.1,54.0,4.83,4.87,3.01,1433
52158,0.7,Very Good,G,VS1,59.3,62.0,5.74,5.8,3.42,2473
36393,0.43,Ideal,G,VS2,61.7,55.0,4.85,4.88,3.0,942
30277,0.3,Very Good,D,SI2,61.2,60.0,4.28,4.31,2.63,447
15011,1.51,Good,I,SI1,63.8,57.0,7.21,7.18,4.59,6046
53360,0.7,Premium,G,VS2,60.9,60.0,5.72,5.68,3.47,2657
3599,0.7,Premium,D,VS1,61.2,60.0,5.69,5.71,3.49,3425
53134,0.93,Very Good,D,I1,63.4,60.0,6.18,6.15,3.91,2618
21734,1.53,Very Good,I,VS2,62.8,59.0,7.27,7.31,4.58,9802
14647,1.05,Ideal,D,SI1,62.8,57.0,6.46,6.48,4.06,5914
32616,0.3,Very Good,H,VS2,62.6,57.0,4.25,4.28,2.67,457
46982,0.55,Ideal,G,VS1,61.0,56.0,5.34,5.32,3.25,1815
18031,0.35,Premium,H,VS1,61.7,59.0,4.51,4.53,2.79,614
33325,0.35,Ideal,D,SI1,62.7,56.0,4.51,4.49,2.82,827
46778,0.5,Very Good,D,VS1,62.3,60.0,5.07,5.1,3.17,1804
28200,0.4,Premium,D,SI2,60.4,59.0,4.8,4.83,2.91,666
5964,0.9,Good,F,SI1,63.2,61.0,6.09,6.13,3.86,3950
3679,0.78,Premium,F,VS1,61.5,58.0,5.93,5.98,3.66,3446
10856,1.13,Premium,H,SI2,60.7,54.0,6.82,6.72,4.11,4873
50221,0.7,Very Good,F,SI1,61.6,55.0,5.66,5.7,3.5,2230
53543,0.76,Ideal,H,VS2,62.7,57.0,5.86,5.82,3.66,2692
35720,0.3,Ideal,D,VS2,61.6,57.0,4.33,4.3,2.66,911
20655,1.53,Ideal,J,VS1,62.4,54.0,7.34,7.38,4.59,8943
46776,0.59,Ideal,G,VS1,64.1,54.0,5.37,5.3,3.42,1803
5255,1.01,Very Good,I,SI2,61.4,63.0,6.33,6.38,3.9,3792
12721,1.04,Ideal,G,SI1,61.9,56.0,6.46,6.5,4.01,5311
34887,0.38,Ideal,F,VS1,59.8,57.0,4.72,4.75,2.84,879
4832,0.9,Very Good,D,SI2,62.9,59.0,6.06,6.15,3.84,3706
43963,0.26,Good,F,VVS2,60.4,61.0,4.13,4.18,2.51,517
29420,0.42,Ideal,H,SI1,62.2,57.0,4.78,4.8,2.98,700
53898,0.65,Very Good,D,VS1,60.8,57.2,5.55,5.63,3.4,2752
45122,0.52,Premium,D,SI1,61.5,55.0,5.21,5.19,3.2,1651
29112,0.34,Ideal,H,VS2,61.7,57.0,4.48,4.46,2.76,689
27887,0.3,Ideal,G,VVS2,61.6,57.0,4.28,4.32,2.65,655
14688,1.29,Ideal,H,SI2,62.1,57.0,6.95,6.93,4.31,5926
53419,0.72,Very Good,F,SI1,63.4,58.0,5.69,5.66,3.6,2670
6454,1.23,Good,D,I1,63.7,58.0,6.79,6.72,4.3,4050
